CollisionGroup,CanonicalName,DistrictID,TightAge,MemberCount,Members
C0000,Manjunath Basappa,16,N,2,P000082|P001619
C0001,Santosh Siddappa,4,N,2,P001650|P000085
C0002,Suresh Doddappa,11,Y,3,P000695|P000033|P002281
C0003,Suresh Hanumappa,4,N,2,P003586|P003429
C0004,Puttaswamy Siddappa,22,N,2,P000338|P000906
C0005,Ramesh Timmappa,7,Y,3,P000565|P001475|P000418
C0006,Manjunath Nagappa,11,Y,2,P002315|P003772
C0007,Rakesh Basappa,4,Y,2,P001787|P001928
C0008,Prasad Shivappa,19,N,2,P003275|P002116
C0009,Basappa Ningappa,26,Y,3,P002416|P000824|P000440
C0010,Harish Siddappa,16,N,3,P003314|P001483|P003730
C0011,Vijayalakshmi Ningappa,26,N,3,P002125|P003857|P002001
C0012,Mallikarjuna Siddappa,4,N,2,P002517|P003382
C0013,Venkatesh Basappa,29,N,2,P000739|P002385
C0014,Shivanna Mallappa,12,N,2,P002100|P001610
C0015,Venkatesh Basappa,13,N,2,P002743|P002746
C0016,Santosh Nagappa,2,Y,2,P000427|P001253
C0017,Suresh Muniyappa,4,Y,2,P003588|P002783
C0018,Manjunath Muniyappa,22,Y,2,P001970|P002821
C0019,Kumar Basappa,1,N,2,P001704|P001413
C0020,Siddaraju Chikkegowda,22,N,2,P002174|P002862
C0021,Raju Nagappa,29,N,2,P001781|P000114
C0022,Siddaraju Basappa,20,N,2,P003847|P000386
C0023,Shankar Boregowda,15,Y,2,P000117|P003495
C0024,Mahesh Ramegowda,8,Y,2,P003016|P001342
C0025,Hanumantha Nagappa,11,N,2,P001371|P001218
C0026,Manjunath Krishnappa,4,Y,2,P001448|P000878
C0027,Ramesh Mariyappa,4,Y,3,P003037|P001575|P000605
C0028,Kumar Ningappa,20,N,2,P003462|P000511
C0029,Hanumantha Ningappa,19,Y,3,P000419|P001000|P001131
C0030,Savitha Rangappa,6,N,3,P000355|P002606|P000127
