TruePersonID,CanonicalName,CanonicalNameKn,Moniker,GenderID,BirthYear,HomeDistrictID,HomeUnitID,MOFamily,TravelPropensity,Quota,ActiveFrom,ActiveTo,GangID,CollisionGroup
P000001,Prakash Shivappa,ಪ್ರಕಾಶ ಶಿವಪ್ಪ,,1,1986,17,212,cattle_theft,0.42,2,2022-09-16,2024-10-06,,
P000002,Veeresh Krishnappa,ವೀರೇಶ ಕೃಷ್ಣಪ್ಪ,,1,1996,11,136,sand_smuggling,0.09,1,2024-04-02,2025-08-03,,
P000003,Kumar Ramegowda,ಕುಮಾರ ರಾಮೇಗೌಡ,,1,1974,9,105,mobile_snatching,0.09,1,2022-01-14,2025-06-05,,
P000004,Ramesh Siddappa,ರಮೇಶ ಸಿದ್ದಪ್ಪ,,1,1999,14,172,sand_smuggling,0.09,2,2021-03-14,2023-04-10,,
P000005,Ayyappa Ramegowda,ಅಯ್ಯಪ್ಪ ರಾಮೇಗೌಡ,,1,1992,18,235,chain_snatching,0.09,2,2022-03-19,2025-11-11,G00152,
P000006,Manjunath Sangappa,ಮಂಜುನಾಥ ಸಂಗಪ್ಪ,Kuri,1,1968,4,49,sand_smuggling,0.09,1,2021-01-28,2022-11-06,,
P000007,Thimmaraju Siddappa,ತಿಮ್ಮರಾಜು ಸಿದ್ದಪ್ಪ,Kadu,1,1997,4,48,shop_burglary,0.09,1,2023-10-07,2026-06-30,,
P000008,Manjunath Basappa,ಮಂಜುನಾಥ ಬಸಪ್ಪ,,1,1993,22,281,murder,0.09,1,2023-04-28,2025-09-25,,
P000009,Savitha Ningappa,ಸವಿತಾ ನಿಂಗಪ್ಪ,,2,1978,3,36,mobile_snatching,0.09,1,2022-03-11,2022-11-25,,
P000010,Manjunath Rangappa,ಮಂಜುನಾಥ ರಂಗಪ್ಪ,,1,1996,19,244,murder,0.09,5,2021-08-13,2022-04-05,G00086,
P000011,Sunitha Fakirappa,ಸುನೀತಾ ಫಕೀರಪ್ಪ,,2,1979,18,229,illicit_liquor,0.09,4,2022-03-03,2025-05-14,,
P000012,Savitha Durgappa,ಸವಿತಾ ದುರ್ಗಪ್ಪ,,2,1980,30,393,ndps_ganja,0.09,1,2022-07-18,2024-07-09,,
