VictimID,CaseMasterID,TruePersonID,RenderedName,CanonicalName,Variant,Script,AgeRecorded,TrueBirthYear
1,39,V000001,Sharada Gurapa,Sharada Gurappa,LA_FULL,latin,28,2000
2,41,V000002,Yashoda S,Yashoda Sangappa,LA_INITIAL_SUFFIX,latin,30,1994
3,42,V000003,ನಿಂಗರಾಜ ಸಿದ್ದಪ್ಪ,Ningaraj Siddappa,KN_FULL,kannada,52,1974
4,43,V000002,YASHODA  SANGAPA,Yashoda Sangappa,LA_UPPER,latin,32,1994
5,53,V000004,Shobha S/o Mallappa,Shobha Mallappa,LA_SONOF,latin,44,1982
6,59,V000005,Vijayalaksmi S/o Yamanappa,Vijayalakshmi Yamanappa,LA_SONOF,latin,45,1980
7,60,V000006,ಶ್ವೇತಾ,Shwetha Ningappa,KN_GIVEN,kannada,52,1979
8,136,V000002,Yashoda S/o Sangapa,Yashoda Sangappa,LA_SONOF,latin,33,1994
9,137,V000002,Yashoda S/o Sangapa,Yashoda Sangappa,LA_SONOF,latin,33,1994
10,139,V000007,R.G.,Rakesh Gurappa,LA_INITIAL_BOTH,latin,23,2005
11,140,V000008,ಶರಣಪ್ಪ ಬಸಪ್ಪ,Sharanappa Basappa,KN_FULL,kannada,33,1993
12,141,V000009,ದೊಡ್ಡಬಸಪ್ಪ ತಂದೆ ಮಾರಿಯಪ್ಪ,Doddabasappa Mariyappa,KN_TANDE,kannada,61,1967
13,142,V000010,Kiran s/o. Somappa,Kiran Somappa,LA_SONOF_DOT,latin,35,1986
14,144,V000011,ರಾಜಣ್ಣ,Rajanna Hanumappa,KN_GIVEN,kannada,32,1996
15,145,V000012,ಗೋಪಾಲ,Gopal Hanumappa,KN_GIVEN,kannada,62,1964
16,146,V000003,ನಿಂಗರಾಜ ಸಿದ್ದಪ್ಪ,Ningaraj Siddappa,KN_FULL,kannada,52,1974
17,147,V000013,ಬಸಪ್ಪಫಕೀರಪ್ಪ,Basappa Fakirappa,KN_FULL,kannada,53,1974
18,149,V000014,Ayyapa Basappa,Ayyappa Basappa,LA_FULL,latin,55,1971
19,150,V000015,Lakshmee Eranna,Lakshmi Eranna,LA_FULL,latin,30,1996
20,151,V000003,Ningaraj Siddappa,Ningaraj Siddappa,LA_FULL,latin,53,1974
21,152,V000016,Mariyappa Ganesh,Ganesh Mariyappa,LA_REORDER,latin,41,1986
22,153,V000005,Veejayalakshmi Yamanappa,Vijayalakshmi Yamanappa,LA_FULL,latin,51,1980
23,154,V000017,ಲಕ್ಷ್ಮಿ,Lakshmi Venkatappa,KN_GIVEN,kannada,68,1959
24,156,V000018,Nagaratna Rangappa,Nagaratna Rangappa,LA_FULL,latin,43,1978
25,168,V000019,Wijayalakshmi,Vijayalakshmi Timmappa,LA_GIVEN,latin,16,2006
26,239,V000020,ಸವಿತಾ ಲಿಂಗಪ್ಪ,Savitha Lingappa,KN_FULL,kannada,39,1992
27,243,V000021,Kumara Gurappa,Kumar Gurappa,LA_FULL,latin,49,1977
28,275,V000022,Raju Boregowda,Raju Boregowda,LA_FULL,latin,50,1981
29,342,V000023,ಶೋಭಾ ಸಿದ್ದಪ್ಪ,Shobha Siddappa,KN_FULL,kannada,50,1971
30,374,V000024,Manjunath Gurappa,Manjunath Gurappa,LA_FULL,latin,50,1976
31,384,V000025,Raju Sangappa,Raju Sangappa,LA_FULL,latin,41,1986
32,390,V000011,Rajanna Hanumapp,Rajanna Hanumappa,LA_FULL,latin,28,1996
33,396,V000026,Shivakumar Puttapp,Shivakumar Puttappa,LA_FULL,latin,52,1969
34,399,V000027,Deepak Kreeshnappa,Deepak Krishnappa,LA_FULL,latin,63,1963
